x,y,speed
276,412,0.48650425541051995
288,416,1.0540925533894598
302,420,1.0400156984686455
331,426,2.278014291532438
356,430,1.9475367540264867
387,433,2.3957556157534516
421,433,2.8333333333333335
453,428,2.9443881346730265
490,415,1.5083593500867367
524,400,6.193634725354015
554,381,4.438820226141176
576,362,2.642625791590661
592,345,1.9454362549881254
606,326,1.6857748173151352
612,314,1.4907119849998598
613,312,0.01054749045990467
625,297,1.4776440547921958
670,257,4.6313825303047285
723,222,5.292814836066806
776,195,4.575468417834785
822,181,4.006938426723769
857,171,2.8000422651078916
886,166,2.101991281366023
867,182,0.018104580682761256
867,182,null
838,192,3.0675723300355933
815,198,1.9808107206674521
797,201,1.5206906325745548
784,202,1.002954216185023
775,202,0.6923076923076923
767,201,0.6718548123582124
763,200,0.2748737083745107
758,195,0.5050762722761054
756,193,0.20203050891044216
754,190,0.3605551275463989
753,187,0.26352313834736496
751,185,0.23570226039551587
750,183,0.17200522903844537
748,182,0.18633899812498247
747,181,0.10878565864408424
746,180,0.10878565864408424
744,180,0.06451612903225806
736,185,1.8867962264113207
720,207,2.266911751455907
698,240,3.05085107923876
677,271,3.1202742044748426
664,294,1.8871206876604152
651,317,2.032283817480447
642,328,1.1843892002959913
637,335,0.7168604389202189
636,335,0.005376344086021506
635,335,0.038461538461538464
625,336,0.9136250564655355
590,337,2.6934063692325534
543,344,3.959868123505574
496,350,3.158762064128569
458,354,4.245549594342844
427,357,2.5954019170662392
404,361,1.9454362549881254
391,361,1
380,362,0.7889543583705186
372,362,0.5714285714285714
364,362,0.7272727272727273
357,362,0.5
351,362,0.5
346,362,0.38461538461538464
342,362,0.36363636363636365
340,362,0.15384615384615385
337,362,0.21428571428571427
334,362,0.3333333333333333
333,362,0.08333333333333333
331,362,0.08333333333333333
330,362,0.07692307692307693
328,362,0.16666666666666666
327,362,0.07692307692307693
325,362,0.15384615384615385
324,362,0.04
323,362,0.025
322,363,0.11785113019775793
322,364,0.07692307692307693
322,366,0.16666666666666666
321,368,0.18633899812498247
321,370,0.16666666666666666
320,372,0.15971914124998499
320,374,0.25
320,377,0.23076923076923078
320,382,0.4166666666666667
320,384,0.15384615384615385
320,386,0.14285714285714285
320,387,0.038461538461538464
320,388,0.038461538461538464
320,390,0.01834862385321101
318,391,0.447213595499958
316,395,0.4065578140908709
313,398,0.32635697593225266
311,401,0.3004626062886658
307,404,0.38461538461538464
306,405,0.1767766952966369
304,407,0.21757131728816848
303,407,0.07692307692307693
302,408,0.0565685424949238
301,408,0.037037037037037035
300,408,0.034482758620689655
298,408,0.2
297,408,0.08333333333333333
296,408,0.08333333333333333
294,408,0.15384615384615385
293,408,0.07142857142857142
292,408,0.125
291,408,0.09090909090909091
290,408,0.0625
288,408,0.2
287,408,0.03571428571428571
